,feature,RandomForest,RandomForest_순위,GradientBoosting,GradientBoosting_순위,AdaBoost,AdaBoost_순위,XGBoost,XGBoost_순위,DecisionTree,DecisionTree_순위,순위평균
0,유동자산(천원)_증가율(%),0.0301283572047647,1.0,0.0451553545222696,2.0,0.07,3.0,0.029447174,3.0,0.0623347491067393,3.0,2.4
1,매출액(천원),0.0238157946904688,15.0,0.0443629544002737,3.0,0.09,1.0,0.061854508,1.0,0.0742585777236377,2.0,4.4
2,총자본(천원)_증가율(%),0.0286043914006177,2.0,0.043063795195454,5.0,0.08,2.0,0.028193492,6.0,0.0194378620295234,23.0,7.6
3,매출액(천원)_증가율(%),0.0270583177668103,5.0,0.0408466186659157,6.0,0.05,5.0,0.026019828,8.0,0.0242502983068102,19.0,8.6
4,영업이익(천원)_증가율(%),0.0255472860289471,8.0,0.0436335842670079,4.0,0.05,5.0,0.023104388,19.0,0.040202396088221,8.0,8.8
5,당기순이익(천원)_증가율(%),0.0286028086430157,3.0,0.0269314141212373,12.0,0.07,3.0,0.023452673,17.0,0.0356616420338127,10.0,9.0
6,장기차입금(천원),0.0204770511397831,28.0,0.0334167327925731,8.0,0.05,5.0,0.028766828,4.0,0.0458116884361478,6.0,10.2
7,영업활동으로인한현금흐름(천원)_증가율(%),0.0273248175952383,4.0,0.0509032073730112,1.0,0.03,13.0,0.02260555,20.0,0.0206990443020949,21.0,11.8
8,재무활동으로인한현금흐름(천원),0.0259468103174619,7.0,0.0247891841415924,15.0,0.04,9.0,0.021421516,28.0,0.0564415891348836,4.0,12.6
9,유형자산(천원)_증가율(%),0.0260259350989259,6.0,0.0246114909710564,17.0,0.01,23.0,0.02253481,21.0,0.0792985309824267,1.0,13.6
10,매입채무(천원),0.0231952030189788,16.0,0.0356922348650372,7.0,0.01,23.0,0.024563266,11.0,0.0285814048423018,14.0,14.2
11,광고선전비(천원),0.0228257763844532,17.0,0.0226571451377616,19.0,0.02,16.0,0.02420119,15.0,0.0435651564148869,7.0,14.8
12,매출총이익률(%),0.0227924976783235,18.0,0.0215459589803686,22.0,0.03,13.0,0.032821003,2.0,0.0224541310783275,20.0,15.0
13,영업활동으로인한현금흐름(천원),0.0251162654465487,9.0,0.0182192848651054,27.0,0.04,9.0,0.024938814,9.0,0.020409938903238,22.0,15.2
14,유형자산(천원),0.0227844704605889,19.0,0.022149484341698,20.0,0.03,13.0,0.024740756,10.0,0.026076965837699,17.0,15.8
15,총자산(천원)_증가율(%),0.0242745067348027,12.0,0.0157103976727742,30.0,0.01,23.0,0.026570842,7.0,0.0301205042970883,13.0,17.0
16,유동부채(천원)_증가율(%),0.0241266806492301,13.0,0.023041400908279,18.0,0.02,16.0,0.02104183,31.0,0.0262291427118982,16.0,18.8
17,영업이익률(%),0.0195333890949021,35.0,0.0254348648077095,13.0,0.05,5.0,0.02433252,14.0,0.0103609200615645,29.0,19.2
18,총부채(천원)_증가율(%),0.0241034206890351,14.0,0.0182711067960517,26.0,0.01,23.0,0.021742133,27.0,0.0318472958119546,12.0,20.4
19,투자활동으로인한현금흐름(천원)_증가율(%),0.0246052440769858,10.0,0.0314067502348385,11.0,0.01,23.0,0.020022167,35.0,0.0117811602776535,27.0,21.2
20,총자산(천원)_회전율,0.0214006947319016,24.0,0.0322467330928007,10.0,0.01,23.0,0.024197793,16.0,0.007639430326429,35.0,21.6
21,당기순이익(천원),0.0216035725921517,23.0,0.024648130514059,16.0,0.01,23.0,0.022446088,22.0,0.0118029629403752,26.0,22.0
22,매출채권(천원),0.0226705845649168,20.0,0.0171509145884396,29.0,0.01,23.0,0.02118662,30.0,0.0381577395219019,9.0,22.2
