,feature,RandomForest,RandomForest_순위,GradientBoosting,GradientBoosting_순위,AdaBoost,AdaBoost_순위,XGBoost,XGBoost_순위,DecisionTree,DecisionTree_순위,순위평균
0,매출액(천원)_증가율(%),0.0380490663113319,1.0,0.0628492264026908,2.0,0.13,1.0,0.028659364,4.0,0.1087180330622579,1.0,1.8
1,유동자산(천원)_증가율(%),0.030998342545576,2.0,0.0537254447950543,3.0,0.09,4.0,0.027108716,8.0,0.0465897682927096,4.0,4.2
2,영업활동으로인한현금흐름(천원)_증가율(%),0.0280850087501061,4.0,0.0408335677111272,5.0,0.04,9.0,0.022748096,23.0,0.0392399261766782,6.0,9.4
3,영업활동으로인한현금흐름(천원),0.0234217602264712,15.0,0.0293625231232285,7.0,0.12,2.0,0.023034748,19.0,0.0424572767025562,5.0,9.6
4,총자본(천원)_증가율(%),0.0268969654843165,8.0,0.0259724496702368,11.0,0.05,6.0,0.02427855,15.0,0.0320894961124689,11.0,10.2
5,총부채(천원)_회전율,0.0216857306905837,19.0,0.0276871231817475,8.0,0.05,6.0,0.023624154,17.0,0.0730122713159338,2.0,10.4
6,영업이익(천원)_증가율(%),0.0278417250094459,5.0,0.0329507154575344,6.0,0.08,5.0,0.022884881,22.0,0.0290835710203346,16.0,10.8
7,투자활동으로인한현금흐름(천원)_증가율(%),0.0247543701116184,10.0,0.0457955687635607,4.0,0.02,13.0,0.025755273,13.0,0.0290955188300847,15.0,11.0
8,당기순이익(천원)_증가율(%),0.0288134590523541,3.0,0.0684302013322914,1.0,0.1,3.0,0.026134536,11.0,0.0,40.0,11.6
9,매출총이익률(%),0.0220697489601909,17.0,0.022240786687945,16.0,0.03,10.0,0.023948452,16.0,0.0266964037541439,17.0,15.2
10,유형자산(천원)_증가율(%),0.0258060765002691,9.0,0.0274495962965987,9.0,0.01,19.0,0.020674871,37.0,0.0382683990108071,7.0,16.2
11,단기차입금(천원),0.0200378869412917,30.0,0.0236180531724043,14.0,0.05,6.0,0.028138105,5.0,0.0115166641622133,30.0,17.0
12,*매출원가율(%),0.0237125649141911,14.0,0.0240209655961412,13.0,0.02,13.0,0.024771143,14.0,0.0047278824236224,37.0,18.2
13,총부채(천원)_증가율(%),0.0277814769586137,6.0,0.0235051710983865,15.0,0.02,13.0,0.02257547,25.0,0.0066726509683024,36.0,19.0
14,영업이익(천원),0.0192485259371787,35.0,0.0162169884225858,30.0,0.01,19.0,0.02940284,3.0,0.0311365361455134,13.0,20.0
15,투자활동으로인한현금흐름(천원),0.0227675383818283,16.0,0.0197542037212925,21.0,0.01,19.0,0.022924973,21.0,0.0134795897850285,27.0,20.8
16,매출원가(천원),0.0190588874830012,38.0,0.0127849068943384,35.0,0.0,27.0,0.030841101,2.0,0.0548454390087376,3.0,21.0
17,유동부채(천원)_증가율(%),0.0243798170728054,11.0,0.0273457945852764,10.0,0.01,19.0,0.022352345,26.0,0.0011951036126379,39.0,21.0
18,부채및자본총계(천원)_증가율(%),0.0273216243528574,7.0,0.0218307295733359,18.0,0.03,10.0,0.0,43.0,0.0089209984879943,31.0,21.8
19,총자본(천원)_회전율,0.0199476134019887,31.0,0.0244949686139669,12.0,0.0,27.0,0.02141187,32.0,0.0341336225691173,8.0,22.0
20,총자산(천원)_증가율(%),0.0243554429676242,13.0,0.0120810511146046,39.0,0.01,19.0,0.032270048,1.0,0.0,40.0,22.4
21,총자본(천원),0.0208069423227732,23.0,0.0083067037100279,43.0,0.0,27.0,0.026500542,10.0,0.0316752902955167,12.0,23.0
22,차입금의존도(%),0.0207164904461786,24.0,0.0220956850688303,17.0,0.03,10.0,0.019834489,38.0,0.0084551548104994,32.0,24.2
23,재무활동으로인한현금흐름(천원),0.0217322451462578,18.0,0.0205356266218674,20.0,0.0,27.0,0.022305448,27.0,0.0122267700211101,29.0,24.2
