,feature,RandomForest,RandomForest_순위,GradientBoosting,GradientBoosting_순위,AdaBoost,AdaBoost_순위,XGBoost,XGBoost_순위,DecisionTree,DecisionTree_순위,순위평균
0,매출액(천원),0.0367239136482079,1.0,0.1029745536464702,1.0,0.12,1.0,0.10689906,1.0,0.2262612915133898,1.0,1.0
1,매입채무(천원),0.0298374548224001,3.0,0.0376467162183017,4.0,0.09,2.0,0.02968162,5.0,0.0355081959349235,7.0,4.2
2,광고선전비(천원),0.0286732209567614,4.0,0.0600269432694741,2.0,0.05,6.0,0.023292882,9.0,0.020460175461224,18.0,7.8
3,총부채(천원),0.0219598008335268,19.0,0.0300762079438592,11.0,0.03,10.0,0.027940601,6.0,0.0493764263281275,3.0,9.8
4,재무활동으로인한현금흐름(천원),0.0243245999002785,12.0,0.0427990677419677,3.0,0.04,8.0,0.01955576,22.0,0.0400039591921497,6.0,10.2
5,유형자산(천원),0.0261545313379727,10.0,0.0263111019438685,14.0,0.03,10.0,0.025348978,8.0,0.0136695085060765,24.0,13.2
6,총자산(천원),0.0325028769465067,2.0,0.0350737660553965,5.0,0.02,17.0,0.051578898,2.0,0.0,41.0,13.4
7,재고자산(천원),0.0280522140892537,7.0,0.0323246434562327,9.0,0.02,17.0,0.02063219,16.0,0.0129225083359034,25.0,14.8
8,연구개발비(천원),0.0211274180625838,24.0,0.0298992487843688,12.0,0.01,23.0,0.021432092,14.0,0.054739529318418,2.0,15.0
9,영업활동으로인한현금흐름(천원),0.0217823378326653,20.0,0.035063884896554,6.0,0.02,17.0,0.019936886,20.0,0.0243657456233679,14.0,15.4
10,영업이익(천원)_증가율(%),0.0236845504354021,13.0,0.0233294331662575,16.0,0.06,5.0,0.02047927,18.0,0.0128189976497561,26.0,15.6
11,유형자산(천원)_증가율(%),0.0222672378559797,16.0,0.0300963405077768,10.0,0.03,10.0,0.01806618,34.0,0.025391360299862,11.0,16.2
12,총자본(천원),0.0281273871328808,6.0,0.0147883689312473,28.0,0.03,10.0,0.027080165,7.0,0.0049768430857942,35.0,17.2
13,영업활동으로인한현금흐름(천원)_증가율(%),0.0225882335866115,15.0,0.0225438533752291,17.0,0.04,8.0,0.019132813,24.0,0.0143776262009307,23.0,17.4
14,당기순이익(천원),0.0188447701496772,35.0,0.0256699862954746,15.0,0.03,10.0,0.020736244,15.0,0.0250955034223766,13.0,17.6
15,총자산(천원)_회전율,0.0212295444332795,22.0,0.0332515938137638,7.0,0.01,23.0,0.018701142,29.0,0.0319053233751225,8.0,17.8
16,부채및자본총계(천원),0.0269411522677265,8.0,0.0325946661830801,8.0,0.03,10.0,0.0,43.0,0.0165922109834504,21.0,18.0
17,유동자산(천원),0.0283927922718676,5.0,0.0200821912708058,21.0,0.01,23.0,0.040622845,3.0,0.0,41.0,18.6
18,투자활동으로인한현금흐름(천원)_증가율(%),0.02619383094747,9.0,0.0220590608381161,18.0,0.08,3.0,0.01777444,37.0,0.009726141318792,33.0,20.0
19,*매출원가율(%),0.0195622373198396,32.0,0.017220250372678,25.0,0.08,3.0,0.02272872,12.0,0.0106107107416549,31.0,20.6
20,총자본(천원)_증가율(%),0.0193673669342015,33.0,0.0268914864463926,13.0,0.03,10.0,0.019590542,21.0,0.011986148656756,29.0,21.2
21,총부채(천원)_증가율(%),0.0208592036374985,25.0,0.0185789356274287,23.0,0.01,23.0,0.018602246,31.0,0.0273592824229738,10.0,22.4
22,매출액(천원)_증가율(%),0.0203211845507649,27.0,0.0183459291611431,24.0,0.01,23.0,0.018249452,33.0,0.0429954718273634,5.0,22.4
23,매출채권(천원),0.024737386128202,11.0,0.0113106271755954,36.0,0.0,29.0,0.01900441,26.0,0.0253075763443544,12.0,22.8
24,매출원가(천원),0.0227835038111316,14.0,0.0118025968639459,33.0,0.0,29.0,0.023004493,11.0,0.0113603427568561,30.0,23.4
25,차입금의존도(%),0.0167872436677441,43.0,0.0214474929718972,19.0,0.02,17.0,0.020132802,19.0,0.0179892151039146,19.0,23.4
26,영업이익(천원),0.0196617885463962,31.0,0.010994148038552,37.0,0.0,29.0,0.030960137,4.0,0.0223858324932455,16.0,23.4
27,ROE(당기순이익)(%),0.0187999750601548,36.0,0.008572145029733,40.0,0.05,6.0,0.019272815,23.0,0.0233648381016276,15.0,24.0
28,총자본(천원)_회전율,0.0198366635444544,29.0,0.0148565734637069,27.0,0.0,29.0,0.018480299,32.0,0.0460541154917541,4.0,24.2
29,유동부채(천원),0.0222095371218574,17.0,0.0061202941632449,43.0,0.0,29.0,0.02058812,17.0,0.0179749496339049,20.0,25.2
30,매출총이익률(%),0.0204480228668072,26.0,0.0134897203546847,30.0,0.02,17.0,0.018704332,28.0,0.0043191888208857,36.0,27.4
31,자기자본비율(%),0.0183502989549515,37.0,0.0091580121181298,39.0,0.01,23.0,0.021492347,13.0,0.0121330694581105,28.0,28.0
32,영업이익률(%),0.0182564308140129,40.0,0.0208242157975813,20.0,0.0,29.0,0.01608508,42.0,0.031166240404707,9.0,28.0
33,차입금비율(%),0.0176082618009483,42.0,0.0114907800401362,35.0,0.0,29.0,0.023269387,10.0,0.0126042652941491,27.0,28.6
34,당기순이익(천원)_증가율(%),0.0221108303216759,18.0,0.011789091016062,34.0,0.0,29.0,0.018606586,30.0,0.0097475654703957,32.0,28.6
35,유동부채(천원)_증가율(%),0.021742100238546,21.0,0.0120027572987008,32.0,0.0,29.0,0.01899389,27.0,0.0037517740185218,37.0,29.2
36,단기차입금(천원),0.0191743672454037,34.0,0.0199063909843991,22.0,0.0,29.0,0.019122109,25.0,0.0,41.0,30.2
37,투자활동으로인한현금흐름(천원),0.0211820066342619,23.0,0.0144943229861136,29.0,0.0,29.0,0.016521698,41.0,0.0005359677169316,40.0,32.4
38,유동자산(천원)_증가율(%),0.0181093847782105,41.0,0.0103654683985598,38.0,0.0,29.0,0.017351814,39.0,0.0213550856875886,17.0,32.8
39,장기차입금(천원),0.0159464642031596,45.0,0.0125210148394833,31.0,0.0,29.0,0.017586278,38.0,0.0161281824644803,22.0,33.0
40,EBIT(천원),0.0198862296841598,28.0,0.0155417906954829,26.0,0.0,29.0,0.0,43.0,0.0,41.0,33.4
