,feature,RandomForest,RandomForest_순위,GradientBoosting,GradientBoosting_순위,AdaBoost,AdaBoost_순위,XGBoost,XGBoost_순위,DecisionTree,DecisionTree_순위,순위평균
0,매출액(천원),0.029814698924584,1.0,0.0634028576765859,1.0,0.06,5.0,0.087145284,1.0,0.0841153761867454,1.0,1.8
1,영업이익(천원)_증가율(%),0.0288473280726548,2.0,0.0533860104462062,3.0,0.13,1.0,0.027829664,4.0,0.0539102183962038,4.0,2.8
2,영업활동으로인한현금흐름(천원)_증가율(%),0.0284181088411457,3.0,0.0583137742799494,2.0,0.1,2.0,0.024445541,7.0,0.0489948646746774,5.0,3.8
3,매출액(천원)_증가율(%),0.0262038064034533,5.0,0.0371659851131883,4.0,0.03,10.0,0.023972036,9.0,0.0441254138316116,6.0,6.8
4,*매출원가율(%),0.0238504312348306,11.0,0.0291197910786269,10.0,0.03,10.0,0.024492562,6.0,0.0768541873781469,2.0,7.8
5,매출총이익률(%),0.0227963535176454,16.0,0.0271642050360565,16.0,0.03,10.0,0.045029722,2.0,0.0363924841966203,9.0,10.6
6,당기순이익(천원)_증가율(%),0.0275530282487689,4.0,0.0276818198887566,14.0,0.06,5.0,0.020767462,28.0,0.0340556634937488,11.0,12.4
7,광고선전비(천원),0.0235783326558445,13.0,0.0319838854792445,7.0,0.01,22.0,0.021801284,18.0,0.0431818692573862,7.0,13.4
8,유형자산(천원),0.0220295305152222,25.0,0.0329025332558966,6.0,0.02,16.0,0.029236648,3.0,0.0213658314642026,18.0,13.6
9,투자활동으로인한현금흐름(천원),0.0243346285046318,8.0,0.0284338657556119,12.0,0.02,16.0,0.023208132,13.0,0.0196688371608743,21.0,14.0
10,총자본(천원)_증가율(%),0.0236457614948504,12.0,0.0333779936534031,5.0,0.07,4.0,0.02245682,16.0,0.0057764943961902,37.0,14.8
11,투자활동으로인한현금흐름(천원)_증가율(%),0.0252530670768707,6.0,0.0307806919336767,9.0,0.0,28.0,0.019396473,35.0,0.0361081248406412,10.0,17.6
12,총부채(천원)_증가율(%),0.0240830864963016,9.0,0.0275005329353287,15.0,0.09,3.0,0.020728027,29.0,0.0104392631682666,32.0,17.6
13,유형자산(천원)_증가율(%),0.0231467880998258,15.0,0.0282972897095638,13.0,0.05,7.0,0.017360488,41.0,0.0291694465103424,12.0,17.6
14,당기순이익(천원),0.0200500509985305,35.0,0.0218891796136928,18.0,0.03,10.0,0.021645982,22.0,0.0383642925106939,8.0,18.6
15,재무활동으로인한현금흐름(천원),0.0239058078841101,10.0,0.0182661079490775,27.0,0.02,16.0,0.023332162,12.0,0.0117823951655049,29.0,18.8
16,차입금의존도(%),0.0207638757523486,31.0,0.0191290731099532,25.0,0.01,22.0,0.021669038,21.0,0.0559638671540632,3.0,20.4
17,총부채(천원),0.0223149327567075,17.0,0.0191371881644889,24.0,0.02,16.0,0.024947783,5.0,0.0,42.0,20.8
18,유동부채(천원)_증가율(%),0.0221656950079371,21.0,0.0317587989055943,8.0,0.0,28.0,0.02152213,24.0,0.0161644538508579,24.0,21.0
19,매출원가(천원),0.0220336202476586,24.0,0.0110813652663214,37.0,0.02,16.0,0.022399327,17.0,0.0265821247367063,16.0,22.0
