종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021-2020통합등급,2021-2020환경,2021-2020사회,2021-2020지배구조,2022-2021통합등급,2022-2021환경,2022-2021사회,2022-2021지배구조,2023-2022통합등급,2023-2022환경,2023-2022사회,2023-2022지배구조,2024-2023통합등급,2024-2023환경,2024-2023사회,2024-2023지배구조,종목코드,시장구분,업종명,시가총액
DB,3.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,6.0,5.0,1.0,6.0,6.0,5.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,12030,KOSPI,서비스업,291299854984.0
DB금융투자,5.0,3.0,5.0,6.0,5.0,3.0,5.0,6.0,5.0,3.0,5.0,5.0,5.0,1.0,6.0,5.0,5.0,1.0,7.0,5.0,0.0,0.0,-1.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16610,KOSPI,증권,174030194900.0
DB손해보험,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,8.0,6.0,6.0,7.0,7.0,6.0,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5830,KOSPI,보험,6605640000000.0
DB하이텍,6.0,7.0,7.0,5.0,6.0,7.0,7.0,5.0,5.0,5.0,6.0,5.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,1.0,1.0,0.0,1.0,-2.0,-2.0,-1.0,-2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,990,KOSPI,전기전자,1818122178600.0
DGB금융지주,7.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139130,KOSPI,기타금융,1400527497240.0
DL,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,1.0,1.0,2.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,210,KOSPI,화학,1058272142000.0
DL건설,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
DL이앤씨,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,-,-,-,-,-,-,-,-,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,375500,KOSPI,건설업,1319452544300.0
DN오토모티브,3.0,3.0,5.0,1.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,6.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,-1.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,7340,KOSPI,전기전자,790525795500.0
DRB동일,6.0,5.0,7.0,6.0,6.0,5.0,7.0,6.0,3.0,1.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,-3.0,-4.0,0.0,-1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4840,KOSPI,화학,115793300000.0
DSR,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,2.0,0.0,0.0,2.0,-4.0,-4.0,-2.0,-4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,155660,KOSPI,철강금속,66160000000.0
DSR제강,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,6.0,3.0,3.0,5.0,3.0,0.0,0.0,-2.0,3.0,0.0,-2.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69730,KOSPI,철강금속,59616000000.0
E1,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,3.0,7.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17940,KOSPI,유통업,454818000000.0
ESR켄달스퀘어리츠,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,365550,KOSPI,서비스업,937591600000.0
F&F,6.0,6.0,8.0,5.0,6.0,6.0,8.0,5.0,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,383220,KOSPI,섬유의복,2528266950000.0
F&F홀딩스,7.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,1.0,1.0,3.0,3.0,5.0,5.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,7700,KOSPI,기타금융,574590051230.0
GKL,6.0,5.0,7.0,6.0,6.0,5.0,7.0,6.0,7.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,3.0,7.0,7.0,0.0,3.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,114090,KOSPI,서비스업,856082472800.0
GS,5.0,6.0,8.0,3.0,5.0,6.0,8.0,3.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0,7.0,7.0,1.0,4.0,0.0,0.0,0.0,-1.0,1.0,0.0,-2.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,78930,KOSPI,기타금융,4157963165500.0
GS건설,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,6360,KOSPI,건설업,1258047903000.0
GS글로벌,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,5.0,6.0,7.0,5.0,1.0,6.0,6.0,1.0,4.0,0.0,1.0,0.0,-2.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1250,KOSPI,유통업,198081033600.0
GS리테일,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,3.0,5.0,6.0,2.0,4.0,2.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7070,KOSPI,유통업,2043046658220.0
HDC,6.0,6.0,7.0,5.0,6.0,6.0,7.0,5.0,3.0,1.0,5.0,3.0,6.0,5.0,6.0,7.0,6.0,3.0,6.0,6.0,0.0,2.0,0.0,1.0,-3.0,-4.0,-1.0,-4.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,12630,KOSPI,기타금융,523934893170.0
HDC랩스,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,6.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,-4.0,-2.0,-4.0,-5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,39570,KOSPI,건설업,209996992090.0
HDC현대EP,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,3.0,3.0,5.0,3.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,1.0,0.0,0.0,1.0,-3.0,-2.0,-1.0,-3.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,89470,KOSPI,화학,130471000000.0
HDC현대산업개발,6.0,6.0,7.0,5.0,6.0,6.0,7.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,6.0,3.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,-2.0,-4.0,0.0,-1.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,294870,KOSPI,건설업,1065062452800.0
HD한국조선해양,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,3.0,7.0,1.0,1.0,3.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9540,KOSPI,기타금융,8443232738800.0
HD현대,7.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,267250,KOSPI,기타금융,4929168504000.0
HD현대건설기계,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0,6.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,267270,KOSPI,기계,1020501077400.0
HD현대미포,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10620,KOSPI,운수장비,2923765306800.0
HD현대에너지솔루션,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,,,,,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,322000,KOSPI,전기전자,266560000000.0
HD현대인프라코어,7.0,8.0,8.0,6.0,7.0,8.0,8.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,42670,KOSPI,기계,1536946588100.0
HD현대일렉트릭,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,267260,KOSPI,전기전자,8200723212500.0
HD현대중공업,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,,,,,,,,,-,-,-,-,-,-,-,-,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,329180,KOSPI,운수장비,10883584021600.0
HJ중공업,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0,6.0,5.0,3.0,5.0,6.0,5.0,5.0,5.0,6.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,97230,KOSPI,건설업,250655585810.0
HLD&I,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14790,KOSPI,건설업,74354292364.0
HLB글로벌,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,5.0,3.0,0.0,0.0,-2.0,2.0,-2.0,0.0,0.0,-4.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,3580,KOSPI,광업,325019097200.0
HL만도,7.0,6.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,204320,KOSPI,운수장비,1537845680000.0
HL홀딩스,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,7.0,6.0,7.0,5.0,8.0,7.0,6.0,5.0,6.0,7.0,1.0,0.0,2.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,60980,KOSPI,기타금융,343726058000.0
HMM,7.0,8.0,8.0,6.0,7.0,8.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11200,KOSPI,운수창고업,11107316675520.0
HS애드,5.0,1.0,3.0,6.0,5.0,1.0,3.0,6.0,5.0,1.0,5.0,6.0,5.0,1.0,5.0,5.0,5.0,1.0,6.0,6.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,35000,KOSPI,서비스업,103214958070.0
JB금융지주,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,175330,KOSPI,기타금융,2450244966880.0
JW생명과학,6.0,6.0,7.0,5.0,6.0,6.0,7.0,5.0,3.0,3.0,6.0,3.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,-1.0,-1.0,0.0,-1.0,-2.0,-2.0,0.0,-2.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,234080,KOSPI,의약품,193656595420.0
JW중외제약,6.0,5.0,7.0,6.0,6.0,5.0,7.0,6.0,3.0,5.0,6.0,1.0,5.0,3.0,6.0,6.0,5.0,5.0,6.0,5.0,0.0,-2.0,0.0,1.0,-2.0,2.0,0.0,-5.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1060,KOSPI,의약품,690427824500.0
JW홀딩스,6.0,5.0,7.0,6.0,6.0,5.0,7.0,6.0,6.0,3.0,6.0,6.0,5.0,1.0,6.0,6.0,6.0,3.0,6.0,6.0,-1.0,-2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,96760,KOSPI,기타금융,219926702450.0
KB금융,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105560,KOSPI,기타금융,28044019504000.0
KC그린홀딩스,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,6.0,5.0,5.0,6.0,5.0,0.0,-4.0,-3.0,1.0,-4.0,0.0,-2.0,-3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9440,KOSPI,기타금융,54404826500.0
KC코트렐,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,6.0,5.0,5.0,5.0,5.0,-2.0,-4.0,-2.0,1.0,-2.0,0.0,-2.0,-3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,119650,KOSPI,기계,79395600889.0
KEC,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,0.0,-1.0,0.0,2.0,-2.0,-2.0,-5.0,-2.0,-2.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,92220,KOSPI,전기전자,260189030736.0
KG모빌리티,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,6.0,6.0,5.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,3620,KOSPI,운수장비,1141475394150.0
KG스틸,5.0,6.0,7.0,3.0,5.0,6.0,7.0,3.0,3.0,5.0,6.0,1.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,0.0,1.0,-1.0,0.0,-2.0,-1.0,1.0,-4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,16380,KOSPI,철강금속,696061923120.0
KG케미칼,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,4.0,-2.0,-2.0,-2.0,-4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1390,KOSPI,화학,378633791200.0
KH필룩스,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33180,KOSPI,전기전자,120578742570.0
KIB플러그에너지,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,3.0,5.0,3.0,3.0,0.0,-4.0,0.0,2.0,-2.0,0.0,0.0,-4.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,15590,KOSPI,기계,103086971640.0
KISCO홀딩스,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,2.0,0.0,0.0,2.0,-2.0,-2.0,-4.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1940,KOSPI,철강금속,373674378000.0
KPX케미칼,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25000,KOSPI,화학,217074000000.0
KPX홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,6.0,3.0,3.0,3.0,5.0,2.0,2.0,0.0,1.0,-2.0,-4.0,0.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,92230,KOSPI,화학,238270034400.0
KR모터스,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,KOSPI,운수장비,31696560384.0
KSS해운,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,8.0,7.0,6.0,5.0,6.0,6.0,1.0,1.0,2.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44450,KOSPI,운수창고업,187457345600.0
KTcs,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,1.0,6.0,6.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58850,KOSPI,서비스업,134244325000.0
KTis,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,7.0,5.0,1.0,6.0,6.0,2.0,5.0,2.0,1.0,-1.0,0.0,-2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58860,KOSPI,서비스업,98315650000.0
LF,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,1.0,5.0,6.0,5.0,1.0,5.0,6.0,5.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,93050,KOSPI,섬유의복,437138000000.0
LG,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3550,KOSPI,기타금융,12426778447000.0
LG디스플레이,6.0,7.0,8.0,5.0,6.0,7.0,8.0,5.0,7.0,7.0,7.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,34220,KOSPI,전기전자,5065000000000.0
LG생활건강,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51900,KOSPI,화학,5973960352500.0
LG에너지솔루션,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,373220,KOSPI,전기전자,88569000000000.0
LG유플러스,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,8.0,7.0,5.0,6.0,6.0,5.0,2.0,1.0,2.0,2.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32640,KOSPI,통신업,4243862428920.0
LG이노텍,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11070,KOSPI,전기전자,4366581241500.0
LG전자,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,8.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,66570,KOSPI,전기전자,15055598888000.0
LG헬로비전,7.0,6.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,5.0,7.0,7.0,6.0,3.0,7.0,7.0,6.0,1.0,6.0,7.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37560,KOSPI,서비스업,254412951525.0
LG화학,7.0,6.0,8.0,7.0,7.0,6.0,8.0,7.0,5.0,3.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,3.0,7.0,6.0,1.0,3.0,0.0,0.0,-1.0,-3.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,51910,KOSPI,화학,26683905654000.0
LIG넥스원,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79550,KOSPI,기계,3489200000000.0
LS,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,6.0,7.0,3.0,7.0,6.0,8.0,6.0,6.0,5.0,6.0,7.0,1.0,1.0,2.0,-1.0,-4.0,0.0,-1.0,-3.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6260,KOSPI,기타금융,4079740000000.0
LS네트웍스,6.0,5.0,7.0,6.0,6.0,5.0,7.0,6.0,5.0,3.0,6.0,5.0,3.0,1.0,3.0,5.0,5.0,1.0,6.0,5.0,-2.0,0.0,-3.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,680,KOSPI,유통업,344369179920.0
LS에코에너지,3.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,6.0,5.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,229640,KOSPI,기타금융,600247628400.0
LX세미콘,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,6.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0,6.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,108320,KOSPI,전기전자,1244218950000.0
LX인터내셔널,6.0,6.0,8.0,5.0,6.0,6.0,8.0,5.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,1120,KOSPI,유통업,1025202000000.0
LX하우시스,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,108670,KOSPI,화학,352877814500.0
LX홀딩스,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,383800,KOSPI,기타금융,520234305800.0
MH에탄올,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,6.0,5.0,3.0,5.0,6.0,0.0,2.0,-4.0,0.0,-2.0,-2.0,0.0,-1.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,23150,KOSPI,음식료품,45082793860.0
NAVER,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,6.0,6.0,8.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,35420,KOSPI,서비스업,29379714654600.0
NH투자증권,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,6.0,5.0,8.0,6.0,1.0,2.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5940,KOSPI,증권,3853958002020.0
