,종목명,2011환경,2012환경,2013환경,2014환경,2015환경,2016환경,2017환경,2018환경,종목코드,시장구분,업종명,시가총액
327,동일산업,B,B,B,B,B,B,B,C,4890.0,KOSPI,철강금속,105012000000.0
329,동화약품,B+,B+,B,B,C,B,B,B,20.0,KOSPI,의약품,243004000000.0
330,두산,A+,A+,A+,A,A,A,A,A,150.0,KOSPI,기타금융,2204280000000.0
332,HD현대인프라코어,A+,A+,A,A,A,A,B+,A,42670.0,KOSPI,기계,1536950000000.0
333,두산에너빌리티,A,A,A,A,B+,A,B+,A,34020.0,KOSPI,기계,10076000000000.0
334,디씨엠,B,B,B,B,C,B,B,B,24090.0,KOSPI,철강금속,124260000000.0
335,디아이,B,C,C,C,B,B,B,B,3160.0,KOSPI,의료정밀,538549000000.0
336,디아이씨,B,B,B,B,B,B,C,C,92200.0,KOSPI,운수장비,240331000000.0
337,디와이,B,B+,B,B,B,B,B,B,13570.0,KOSPI,기타금융,150285000000.0
338,DN오토모티브,B,C,C,C,C,B,B,B,7340.0,KOSPI,전기전자,790526000000.0
339,스틱인베스트먼트,B,B,B,B,B+,B+,B,B,26890.0,KOSPI,기타금융,360099000000.0
343,롯데손해보험,B,A,B+,B+,B+,A+,A,A,400.0,KOSPI,보험,1013250000000.0
344,롯데쇼핑,B+,A,B+,A,C,C,B,B+,23530.0,KOSPI,유통업,1892520000000.0
345,롯데정밀화학,B+,B+,B,B+,B,B,A,B+,4000.0,KOSPI,화학,1111980000000.0
346,롯데지주,B,B+,B+,B+,C,C,B,B+,4990.0,KOSPI,기타금융,2774850000000.0
347,롯데칠성,B,B,B,B+,B,C,B,B+,5300.0,KOSPI,음식료품,1183060000000.0
348,롯데케미칼,B,B+,B+,B+,B,B,B+,A,11170.0,KOSPI,화학,4290370000000.0
350,마니커,C,C,D,C,C,D,C,C,27740.0,KOSPI,음식료품,69227238520.0
351,만호제강,B,B,B,B,B,B,B,B,1080.0,KOSPI,철강금속,195673000000.0
355,명문제약,B+,B,B,B,B,B,B,B,17180.0,KOSPI,의약품,69434813430.0
356,모나리자,C,C,C,C,C,C,C,C,12690.0,KOSPI,종이목재,114834000000.0
357,모나미,B,B,C,B,C,B,B,B,5360.0,KOSPI,유통업,51117215435.0
358,모토닉,B,B,B,B,B,B,B,B,9680.0,KOSPI,운수장비,274560000000.0
359,무림P&P,B,B,B,C,C,B,D,B,9580.0,KOSPI,종이목재,190535000000.0
360,무림페이퍼,B,B,C,C,B,B,B,B,9200.0,KOSPI,종이목재,89251969950.0
361,문배철강,B,B,C,C,B,B,B,B,8420.0,KOSPI,철강금속,56999743900.0
362,미래산업,B+,B+,B,B,B,B+,B+,B,25560.0,KOSPI,의료정밀,66641196300.0
363,미래아이앤지,C,C,B,C,C,C,C,C,7120.0,KOSPI,서비스업,31257497664.0
366,미원상사,B,B,B,C,C,C,B,B+,2840.0,KOSPI,화학,907725000000.0
367,미원홀딩스,C,B,B,B,B,B,B,B,107590.0,KOSPI,기타금융,179336000000.0
368,미창석유,B,B,B,B+,B,B,B+,B,3650.0,KOSPI,화학,136738000000.0
369,방림,B,B,B,B,C,B,B,B,3610.0,KOSPI,섬유의복,88224877650.0
371,백광산업,B,B,C,B,B,B,B,C,1340.0,KOSPI,화학,360246000000.0
372,태경비케이,C,C,C,C,C,C,C,C,14580.0,KOSPI,비금속광물,145639000000.0
373,백산,C,B,B,C,B,B,B,C,35150.0,KOSPI,화학,297198000000.0
376,보락,B,B,B,B,B,C,B,B,2760.0,KOSPI,화학,67567200000.0
377,보령,B,B,C,C,C,C,B+,C,3850.0,KOSPI,의약품,763833000000.0
379,보해양조,B,C,D,C,C,B,C,B,890.0,KOSPI,음식료품,67890622952.0
380,부광약품,B+,B+,B+,B+,B,B+,B,B,3000.0,KOSPI,의약품,437748000000.0
381,부국증권,B,B,B,B,B,B+,B+,B+ 이하,1270.0,KOSPI,증권,249914000000.0
382,부국철강,B,B,B,C,C,B,B,B,26940.0,KOSPI,철강금속,60300000000.0
384,부산산업,C,B,B,B,B,B,B,C,11390.0,KOSPI,비금속광물,55756800000.0
385,부산주공,B,B,B,B,B+,B,B,C,5030.0,KOSPI,운수장비,38288532168.0
386,비상교육,B,B,B,B,C,C,B,B,100220.0,KOSPI,서비스업,62384356800.0
387,빙그레,B,B,B,B,B,B,B,B+,5180.0,KOSPI,음식료품,682691000000.0
389,사조동아원,B,C,B,C,B,C,B,B,8040.0,KOSPI,음식료품,136487000000.0
390,사조산업,B,C,C,C,B,C,C,C,7160.0,KOSPI,"농업, 임업 및 어업",179500000000.0
391,사조오양,B,B,B,C,C,C,B,B,6090.0,KOSPI,음식료품,84804651000.0
393,SGC에너지,C,B,C,B,B,C,D,C,5090.0,KOSPI,전기가스업,330694000000.0
394,삼성SDI,B,B+,B,B+,B+,B+,B,B+,6400.0,KOSPI,전기전자,28984200000000.0
395,삼성공조,B,B,B,B,B+,B,B,B,6660.0,KOSPI,운수장비,73543141700.0
396,삼성물산,B+,B+,B+,B,D,A+,A,A,28260.0,KOSPI,유통업,27356200000000.0
397,삼성E&A,B+,B+,B+,B+,B+,B+,B+,A,28050.0,KOSPI,서비스업,5154800000000.0
398,삼성전기,B+,A,A,A,A,A+,A,A,9150.0,KOSPI,전기전자,10823100000000.0
399,삼성전자,A,A,A,A,B+,B+,B,B+,5930.0,KOSPI,전기전자,454300000000000.0
400,삼성제약,B,B,B,B,D,C,C,C,1360.0,KOSPI,의약품,153955000000.0
401,삼성중공업,B,B,B,B,B+,B,B+,B,10140.0,KOSPI,운수장비,8342400000000.0
402,삼성증권,A,A,A,A,A+,A+,A,B+ 이하,16360.0,KOSPI,증권,3344290000000.0
403,삼성출판사,B,B,B,B,B,B,B,B,68290.0,KOSPI,서비스업,179100000000.0
404,삼성카드,B+,B+,B,B+,A,A+,A,B+ 이하,29780.0,KOSPI,기타금융,4373670000000.0
405,삼성화재,A,A,A,A,A+,A+,A,B+ 이하,810.0,KOSPI,보험,14236100000000.0
406,삼아알미늄,B,B,B,B,B,B,B,B,6110.0,KOSPI,철강금속,1119580000000.0
407,삼양식품,B,C,C,C,C,D,B,D,3230.0,KOSPI,음식료품,2207170000000.0
411,삼양통상,B,B,B,B,B,B,B,C,2170.0,KOSPI,기타제조업,148800000000.0
412,삼양홀딩스,B,B,B,C,C,C,B,B,70.0,KOSPI,기타금융,586653000000.0
413,삼영무역,B,B,B,B,B,B,B,C,2810.0,KOSPI,유통업,235269000000.0
414,삼영전자,B,B,B,B,B,B+,B,B,5680.0,KOSPI,전기전자,190400000000.0
415,삼영,B,B,B,B,B,C,C,B,3720.0,KOSPI,화학,129880000000.0
416,삼익THK,B,B,B,C,B,C,B,B,4380.0,KOSPI,기계,278250000000.0
417,삼익악기,B,B,C,C,C,D,B,C,2450.0,KOSPI,기타제조업,116513000000.0
418,삼일제약,B,B,C,B,B,C,B,B,520.0,KOSPI,의약품,183800000000.0
419,삼정펄프,B,B,B,B,B,B,B,C,9770.0,KOSPI,종이목재,62499275000.0
420,삼진제약,B+,B,B,B,B,B,B,B,5500.0,KOSPI,의약품,273830000000.0
421,삼천리,B+,B+,B+,B+,C,B+,B,B+,4690.0,KOSPI,전기가스업,369818000000.0
423,삼호개발,B,B,B,B,C,B,B,C,10960.0,KOSPI,건설업,81750000000.0
424,삼화왕관,B,C,C,C,C,C,B,B,4450.0,KOSPI,기계,70448193300.0
425,삼화전기,C,C,B,B,B,B,B,B,9470.0,KOSPI,전기전자,251325000000.0
426,삼화전자,C,C,C,C,C,C,C,C,11230.0,KOSPI,전기전자,67526286500.0
427,삼화콘덴서,C,B,B,B,B,B,C,B,1820.0,KOSPI,전기전자,466736000000.0
428,삼화페인트,B+,B+,B+,B+,C,B+,B+,B+,390.0,KOSPI,화학,202666000000.0
430,상신브레이크,B,B,B,B,B,B,B,B,41650.0,KOSPI,운수장비,82020939000.0
431,새론오토모티브,C,B,C,C,C,C,C,B,75180.0,KOSPI,운수장비,72960000000.0
432,샘표,B,B,B,B,B,C,C,B,7540.0,KOSPI,기타금융,142496000000.0
433,서연,C,B,B,B,C,C,D,B,7860.0,KOSPI,기타금융,214136000000.0
434,서울가스,B+,B+,B,B+,B+,B+,B+,B,17390.0,KOSPI,전기가스업,284000000000.0
435,서울식품,B,B,B,B,B,B,B,B,4410.0,KOSPI,음식료품,64457956148.0
437,서원,B,B,B,B,B,B,B,B,21050.0,KOSPI,철강금속,64375544040.0
438,서흥,B,B,B,B,B,C,B,B,8490.0,KOSPI,화학,249314000000.0
439,선도전기,B,C,C,B,B,B,B,B,7610.0,KOSPI,전기전자,54000000000.0
441,SUN&L,B,B,B,B,C,B,B,C,2820.0,KOSPI,종이목재,32591651565.0
442,성문전자,C,C,C,C,B,C,B,C,14910.0,KOSPI,전기전자,32029364610.0
443,성보화학,B,B,C,B,C,B,C,B,3080.0,KOSPI,화학,58258200000.0
444,성신양회,B+,B,B+,B+,B,B,C,B,4980.0,KOSPI,비금속광물,206670000000.0
446,성창기업지주,C,B,C,C,D,C,C,C,180.0,KOSPI,서비스업,132737000000.0
447,세기상사,B,C,B,B,B,B,B,B,2420.0,KOSPI,유통업,43581368320.0
448,세방,B,B,B,B+,B+,B+,B,B+,4360.0,KOSPI,운수창고업,224946000000.0
449,세방전지,B,B+,B,B,C,B,C,C,4490.0,KOSPI,전기전자,1303400000000.0
450,세아베스틸지주,B,B,B,B,C,B,C,C,1430.0,KOSPI,철강금속,747725000000.0
451,세아제강,B,B,B,B,C,C,B,C,306200.0,KOSPI,철강금속,384886000000.0
452,세아홀딩스,B,B,B,B,C,B,C,C,58650.0,KOSPI,철강금속,429200000000.0
453,세우글로벌,B,C,C,C,C,C,B,C,13000.0,KOSPI,유통업,40387978617.0
454,세원이앤씨,B,C,C,C,C,C,B,C,91090.0,KOSPI,기계,54838923850.0
455,세원정공,C,B,C,B,B,B,C,B,21820.0,KOSPI,운수장비,78200000000.0
456,세이브존I&C,B,B,C,C,B,B,B,C,67830.0,KOSPI,유통업,96446103250.0
457,에스제이지세종,B,B,B,B,B,C,C,C,33530.0,KOSPI,운수장비,158858000000.0
460,송원산업,B,B,C,B,C,C,B,D,4430.0,KOSPI,화학,324000000000.0
461,수산중공업,C,C,C,C,C,B,B,B,17550.0,KOSPI,기계,124611000000.0
462,신대양제지,C,C,C,C,B,C,C,D,16590.0,KOSPI,종이목재,229698000000.0
463,신도리코,C,B,B,B+,B+,B,B+,B+,29530.0,KOSPI,전기전자,373969000000.0
464,신라교역,B,B,B,B,C,B,C,C,4970.0,KOSPI,"농업, 임업 및 어업",135680000000.0
466,신성이엔지,B,C,C,C,B,B,B,C,11930.0,KOSPI,전기전자,428164000000.0
467,신성통상,C,C,C,C,C,B,B,C,5390.0,KOSPI,유통업,255657000000.0
468,신세계,A,B+,B+,B+,C,C,B,B,4170.0,KOSPI,유통업,1618550000000.0
469,신세계I&C,B,C,B,B,B,B,B,B,35510.0,KOSPI,서비스업,193500000000.0
470,신세계건설,B,C,C,C,B,B,B+,B+,34300.0,KOSPI,건설업,80709761600.0
471,신영와코루,C,B,C,C,C,C,C,D,5800.0,KOSPI,섬유의복,82620000000.0
472,신영증권,B+,B+,B+,B,B+,A,A,B+ 이하,1720.0,KOSPI,증권,625509000000.0
473,신원,B,B,B,B,C,D,B,C,9270.0,KOSPI,섬유의복,131311000000.0
475,신일전자,C,B,C,C,D,D,C,B,2700.0,KOSPI,유통업,132362000000.0
476,신풍제약,B,C,B,B,B,B,B,B,19170.0,KOSPI,의약품,722715000000.0
477,신풍,B,B,B,B,B,B,B,B,2870.0,KOSPI,유통업,29470184100.0
479,신한지주,A,A+,A+,A+,A+,A+,S,A+,55550.0,KOSPI,기타금융,22566100000000.0
480,SHD,B,C,C,C,C,C,B,C,1770.0,KOSPI,철강금속,21928547900.0
481,신흥,B+,B,B,B,B+,B+,B+,B+,4080.0,KOSPI,유통업,142120000000.0
482,쌍방울,C,C,C,C,D,C,C,C,102280.0,KOSPI,섬유의복,70637282701.0
483,쌍용C&E,B,C,C,C,B,B,B+,B+,3410.0,KOSPI,비금속광물,3495870000000.0
484,써니전자,C,C,C,B,C,C,B,B,4770.0,KOSPI,전기전자,72304681480.0
485,씨아이테크,B,C,C,D,D,C,D,C,4920.0,KOSPI,기타제조업,59628359463.0
486,아남전자,B,C,B,C,C,B,B,C,8700.0,KOSPI,전기전자,141987000000.0
487,아모레퍼시픽,A,B+,B+,B+,B,B+,B+,B,90430.0,KOSPI,화학,8288420000000.0
488,아모레G,B,B,B,B,C,C,B,B+,2790.0,KOSPI,화학,2506730000000.0
489,메타랩스,B,B,C,C,B,B,B,C,90370.0,KOSPI,섬유의복,44828440200.0
490,아세아,B,B,B,C,C,B,B,C,2030.0,KOSPI,서비스업,490830000000.0
491,아세아제지,C,C,C,C,C,B,B,C,2310.0,KOSPI,종이목재,385577000000.0
493,아시아나항공,B,B,B+,C,C,B,B,B,20560.0,KOSPI,운수창고업,798438000000.0
494,아이에스동서,C,C,C,B,C,B,B,C,10780.0,KOSPI,비금속광물,781843000000.0
495,IHQ,B,C,C,C,B,C,B,B,3560.0,KOSPI,서비스업,58906362440.0
497,알루코,B,C,D,C,D,D,B,C,1780.0,KOSPI,철강금속,314699000000.0
500,에넥스,B,B,C,B,B,C,C,C,11090.0,KOSPI,기타제조업,28915970962.0
501,에스엘,B,B,B,B,B,C,C,C,5850.0,KOSPI,운수장비,1439900000000.0
502,에스원,B+,B,B,B,C,B,C,C,12750.0,KOSPI,서비스업,2317950000000.0
503,SJM홀딩스,C,B,B,B,B,B,B+,B,25530.0,KOSPI,유통업,54882479400.0
504,에쓰씨엔지니어링,C,C,C,C,C,C,B,C,23960.0,KOSPI,건설업,49423494464.0
505,에이엔피,C,C,C,C,C,C,C,C,15260.0,KOSPI,전기전자,52019778782.0
506,에이프로젠,C,C,C,D,B,C,C,C,7460.0,KOSPI,기계,384544000000.0
507,에이프로젠바이오로직스,C,C,C,C,C,C,C,D,3060.0,KOSPI,의약품,101062000000.0
508,엔씨소프트,B+,A,B+,B+,A,B+,B,B+,36570.0,KOSPI,서비스업,3740970000000.0
509,엔케이,C,B,C,B,B,C,C,C,85310.0,KOSPI,기계,70705283168.0
510,플레이그램,C,C,C,C,D,C,C,D,9810.0,KOSPI,유통업,73895359021.0
511,NPC,B,C,B,C,C,B,B,B,4250.0,KOSPI,화학,188006000000.0
512,영보화학,C,C,C,C,C,C,C,C,14440.0,KOSPI,화학,68800000000.0
513,영원무역,B,B,C,B,B,B,B,B,111770.0,KOSPI,유통업,1699340000000.0
514,영원무역홀딩스,B,B,C,C,B,B,B,C,9970.0,KOSPI,기타금융,1206750000000.0
515,영진약품,B,B,B,B,B,B,C,B,3520.0,KOSPI,의약품,375845000000.0
516,영풍,C,C,C,C,C,D,C,B,670.0,KOSPI,철강금속,723922000000.0
517,영풍제지,C,B,C,C,B,C,C,C,6740.0,KOSPI,종이목재,86038455948.0
518,영화금속,C,C,C,C,B,B,B,B,12280.0,KOSPI,운수장비,45361435390.0
519,예스코홀딩스,B+,B+,B+,B+,B+,B+,A,B,15360.0,KOSPI,서비스업,233400000000.0
520,오뚜기,C,C,C,C,C,D,D,B,7310.0,KOSPI,음식료품,1649220000000.0
521,오리엔트바이오,C,C,C,C,C,C,C,C,2630.0,KOSPI,의약품,62848992650.0
522,오리온홀딩스,B,B,B,B,C,C,C,D,1800.0,KOSPI,기타금융,888939000000.0
523,웰바이오텍,C,C,C,C,C,C,B,C,10600.0,KOSPI,유통업,49553256815.0
524,우리금융지주,A,A+,A,A+,A+,A+,A,B+ 이하,316140.0,KOSPI,기타금융,10507700000000.0
525,팜젠사이언스,C,C,C,C,C,C,D,C,4720.0,KOSPI,의약품,94164759500.0
526,에스메디,C,C,D,D,C,C,C,C,118000.0,KOSPI,유통업,74672560849.0
528,우성,C,B,B,B,B,B+,B,C,6980.0,KOSPI,음식료품,60193200000.0
529,우신시스템,C,B,B,C,C,C,C,C,17370.0,KOSPI,기계,163911000000.0
530,우진플라임,C,B,C,B,C,B,B,B,49800.0,KOSPI,기계,54200000000.0
532,웅진씽크빅,B+,B,C,B,B,C,C,C,95720.0,KOSPI,서비스업,250648000000.0
533,원림,C,B,C,C,C,C,B,C,5820.0,KOSPI,섬유의복,42857140500.0
534,윌비스,B,B,B,B,B,B,B+,B,8600.0,KOSPI,유통업,32609478915.0
535,유나이티드제약,C,B,B,B,B+,B+,B,B,33270.0,KOSPI,의약품,372411000000.0
536,유니드,C,B,B,B,C,C,B,C,14830.0,KOSPI,화학,550883000000.0
537,유니온,B,B,B,B,B,B,B,C,910.0,KOSPI,비금속광물,85707788310.0
538,유니온머티리얼,B,B,C,C,C,C,B,C,47400.0,KOSPI,비금속광물,120750000000.0
540,유니퀘스트,C,B,B,B,B+,B,B+,B+,77500.0,KOSPI,유통업,145584000000.0
541,유성기업,C,C,B,C,B,B+,B,B,2920.0,KOSPI,운수장비,69669037500.0
542,유수홀딩스,B+,B+,B,B,B,B,B+,B+,700.0,KOSPI,서비스업,141928000000.0
543,유안타증권,B,B,B+,C,B,A,A,B+ 이하,3470.0,KOSPI,증권,539909000000.0
544,와이투솔루션,C,B,B,B,B,B,B,B,11690.0,KOSPI,전기전자,127828000000.0
545,유엔젤,C,B,B,C,B,C,B,C,72130.0,KOSPI,서비스업,44600634520.0
546,유유제약,B,B,B,B,C,B,B,B,220.0,KOSPI,의약품,80052049700.0
547,유진투자증권,C,B+,B+,B,B+,A,A,B+ 이하,1200.0,KOSPI,증권,398605000000.0
548,유한양행,B,B+,B,B,B+,B+,B,B,100.0,KOSPI,의약품,5742970000000.0
549,유화증권,B+,B,B,C,B+,B+,B+,B+ 이하,3460.0,KOSPI,증권,125312000000.0
550,율촌화학,B,B,B,B,C,C,B,B,8730.0,KOSPI,화학,820880000000.0
551,이건산업,C,C,C,B,B,B,B,C,8250.0,KOSPI,종이목재,59253755350.0
552,이구산업,C,B,B,B,B+,B+,B,B+,25820.0,KOSPI,철강금속,221720000000.0
553,이수페타시스,C,C,C,C,C,D,C,C,7660.0,KOSPI,전기전자,2270550000000.0
554,이수화학,B,B,C,C,C,B,B,C,5950.0,KOSPI,화학,266311000000.0
555,이스타코,C,C,C,C,C,C,D,C,15020.0,KOSPI,서비스업,32995732000.0
556,이아이디,B,B,C,C,C,D,C,C,93230.0,KOSPI,유통업,354103000000.0
557,이월드,C,C,C,C,C,C,C,C,84680.0,KOSPI,기타제조업,279075000000.0
558,이화산업,C,C,C,C,C,C,C,C,760.0,KOSPI,유통업,40012000000.0
559,인디에프,B,C,C,B,C,C,B,B,14990.0,KOSPI,섬유의복,51076836600.0
561,인지컨트롤스,C,C,C,C,C,C,C,D,23800.0,KOSPI,운수장비,118253000000.0
562,인천도시가스,C,B,C,B,B,B,B,B,34590.0,KOSPI,전기가스업,110900000000.0
563,인팩,C,B,C,C,B,C,B,B,23810.0,KOSPI,운수장비,83800000000.0
564,일동홀딩스,B,B,B,C,B+,B,B,B,230.0,KOSPI,의약품,99593652000.0
565,일성건설,C,B,C,C,C,C,B,B,13360.0,KOSPI,건설업,78282051120.0
567,일신방직,B,B,B+,B+,B+,B,B+,B,3200.0,KOSPI,섬유의복,200441000000.0
568,일신석재,C,C,C,C,C,C,B,C,7110.0,KOSPI,유통업,82491289650.0
569,일양약품,B,B,B,B,B,B,B,B,7570.0,KOSPI,의약품,264527000000.0
570,일정실업,C,C,B,B,C,C,C,C,8500.0,KOSPI,섬유의복,18840000000.0
571,일진다이아,C,B,B,C,C,C,C,C,81000.0,KOSPI,화학,181656000000.0
572,일진디스플,C,C,C,C,B,B,C,B,20760.0,KOSPI,전기전자,55171216611.0
573,일진전기,B,B,C,C,B,B,B,C,103590.0,KOSPI,전기전자,911268000000.0
574,일진홀딩스,C,C,C,C,C,B,B,B,15860.0,KOSPI,기타금융,202078000000.0
575,자화전자,C,B,C,B,B,B,B,C,33240.0,KOSPI,전기전자,533956000000.0
576,전방,C,B,B,B,C,C,B,C,950.0,KOSPI,섬유의복,33684000000.0
580,제일기획,B,B,B,B,C,B,B,B+,30000.0,KOSPI,서비스업,2160470000000.0
582,제일연마,C,C,B,B,C,C,B+,B,1560.0,KOSPI,비금속광물,85100000000.0
584,제일파마홀딩스,C,B,B,B,B,B,B,B,2620.0,KOSPI,서비스업,163887000000.0
585,조광페인트,C,B,C,C,D,B,B,C,4910.0,KOSPI,화학,79232000000.0
586,조광피혁,C,B+,B,B,B,B,B+,B,4700.0,KOSPI,기타제조업,335117000000.0
587,조비,C,C,D,C,C,C,B,C,1550.0,KOSPI,화학,66201047250.0
588,조선내화,C,B,B,B,C,B,B,D,462520.0,KOSPI,비금속광물,191935000000.0
589,조일알미늄,B,B,B,B,B,B,B,C,18470.0,KOSPI,철강금속,298218000000.0
590,조흥,B,B,C,B,B,B,B,B,2600.0,KOSPI,음식료품,104520000000.0
591,종근당바이오,C,C,B,C,B,B,B,B,63160.0,KOSPI,의약품,128646000000.0
592,종근당홀딩스,B,B,B,B,C,B,B+,B,1630.0,KOSPI,의약품,309609000000.0
593,주연테크,B,B,C,C,C,C,C,C,44380.0,KOSPI,전기전자,27350050728.0
596,HS애드,B,B,B,B+,B+,B+,B+,B,35000.0,KOSPI,서비스업,103215000000.0
597,진도,B,C,C,C,C,C,B,C,88790.0,KOSPI,유통업,29252198400.0
598,진양산업,C,B,C,C,B,B,B,B,3780.0,KOSPI,화학,85540000000.0
599,진양폴리,B,B,C,B,B,C,C,C,10640.0,KOSPI,화학,62700000000.0
600,진양홀딩스,B,B,B,B,B,B,B,B,100250.0,KOSPI,화학,179703000000.0
601,진양화학,B,B,B,B,B,B,B,C,51630.0,KOSPI,화학,56248000000.0
602,진원생명과학,B,C,C,C,C,D,B,C,11000.0,KOSPI,의약품,194895000000.0
605,참엔지니어링,B,C,B,B,C,D,B,B+,9310.0,KOSPI,기계,37171929522.0
606,천일고속,C,C,C,C,B,B,B+,B+,650.0,KOSPI,운수창고업,67459184000.0
607,청호ICT,B,B,C,C,B,C,B,D,12600.0,KOSPI,기계,116120000000.0
608,체시스,C,C,C,C,B,C,C,C,33250.0,KOSPI,운수장비,39520000000.0
609,카프로,B,B,B,C,C,B,B,B,6380.0,KOSPI,화학,29280000000.0
612,케이씨,B,B,B,B,B,B,B+,B,29460.0,KOSPI,의료정밀,284635000000.0
613,KCC,B,B+,B+,B+,B,C,B,C,2380.0,KOSPI,화학,2146080000000.0
614,KCTC,B,B,C,B,C,B,C,C,9070.0,KOSPI,운수창고업,113100000000.0
615,KT,A+,A+,A+,A+,A+,A,A,A,30200.0,KOSPI,통신업,8820760000000.0
616,KT&G,A+,A+,A+,A+,A+,A+,A,A+,33780.0,KOSPI,기타제조업,11846300000000.0
618,코리아써키트,B,C,C,B,B,C,B,C,7810.0,KOSPI,전기전자,365413000000.0
619,코리안리,A,B+,A,A,A,A+,A,A,3690.0,KOSPI,보험,1319630000000.0
620,코스맥스비티아이,B,B,B,B,B,B,B,B,44820.0,KOSPI,기타금융,91333288710.0
621,코스모신소재,B,B,C,B,C,C,C,B+,5070.0,KOSPI,화학,4931880000000.0
622,코스모화학,B,B,B,B,C,B,B,B,5420.0,KOSPI,화학,1219460000000.0
623,코아스,C,C,B,B,B,B,C,B,71950.0,KOSPI,기타제조업,14062780550.0
624,코오롱,B,B,B,B,B,C,B,B,2020.0,KOSPI,기타금융,202780000000.0
625,코오롱글로벌,B,B,B+,B,B,B+,B+,B+,3070.0,KOSPI,건설업,161496000000.0
627,코웨이,B+,B,B,B,B,B,B,B,21240.0,KOSPI,서비스업,4125400000000.0
628,콤텍시스템,B,B,B,C,C,B,B,C,31820.0,KOSPI,서비스업,82557099812.0
629,크라운해태홀딩스,B,C,B,B,C,B,B,B,5740.0,KOSPI,기타금융,88341714650.0
630,키움증권,B,B+,B+,B+,A,A,A,B+ 이하,39490.0,KOSPI,증권,3435700000000.0
631,아센디오,C,C,C,D,C,D,C,D,12170.0,KOSPI,서비스업,112373000000.0
632,태경산업,B,C,B,C,B,C,C,C,15890.0,KOSPI,화학,172157000000.0
633,태경케미컬,C,C,C,C,C,D,C,C,6890.0,KOSPI,화학,157180000000.0
634,태광산업,B,C,D,C,C,C,C,C,3240.0,KOSPI,화학,702555000000.0
635,태림포장,C,C,C,C,C,C,C,C,11280.0,KOSPI,종이목재,199673000000.0
636,태양금속,B,B,B,B,C,B,B,C,4100.0,KOSPI,운수장비,72188900000.0
637,태영건설,B+,B,B+,B+,B+,B+,B+,B+,9410.0,KOSPI,건설업,89856916380.0
638,태원물산,B,B,B,C,C,B,B,B,1420.0,KOSPI,운수장비,31464000000.0
639,TP,B,B,B,B,B,B,B+,B,7980.0,KOSPI,섬유의복,85001890930.0
641,텔코웨어,B,B,B,B,B,C,B,B,78000.0,KOSPI,서비스업,99452736500.0
642,TBH글로벌,B,B,C,B,B,B,B,B,84870.0,KOSPI,섬유의복,36979140087.0
643,티에이치엔,C,B,C,C,C,C,C,B,19180.0,KOSPI,전기전자,63900000000.0
645,파미셀,C,B,C,B,B,C,B,B,5690.0,KOSPI,의약품,340296000000.0
647,팜스코,C,C,C,C,B,B,B+,B,36580.0,KOSPI,음식료품,106327000000.0
649,퍼스텍,B,B,B,B,B,B,B,B,10820.0,KOSPI,기계,163630000000.0
650,퍼시스,B,B,B,B,B,B,B,B,16800.0,KOSPI,기타제조업,407100000000.0
651,페이퍼코리아,C,C,C,C,C,C,C,C,1020.0,KOSPI,종이목재,150574000000.0
652,평화산업,B,B,B,B,B+,B+,B,B,90080.0,KOSPI,운수장비,61490530080.0
653,평화홀딩스,B,B,B,B,B,B,B+,B,10770.0,KOSPI,운수장비,43876398000.0
654,POSCO홀딩스,A+,A+,A+,A+,A,A+,A,A+,5490.0,KOSPI,철강금속,33405600000000.0
655,포스코스틸리온,B,B,B,B,B,B+,B+,B+,58430.0,KOSPI,철강금속,279300000000.0
656,포스코인터내셔널,B,B+,B+,B+,B+,B+,B+,B+,47050.0,KOSPI,유통업,7890140000000.0
659,풀무원,A,A,A,A,B+,A,A+,A+,17810.0,KOSPI,음식료품,470026000000.0
661,풍산,B+,B+,B+,B+,B+,B,B+,B,103140.0,KOSPI,철강금속,1670250000000.0
662,풍산홀딩스,B,B,B,B,B,B,B+,B+,5810.0,KOSPI,기타금융,418822000000.0
663,KH필룩스,B,B,B,B,B,B,C,C,33180.0,KOSPI,전기전자,120579000000.0
664,하나금융지주,A+,A+,A+,A+,A+,A+,A,A+,86790.0,KOSPI,기타금융,16664300000000.0
