,종목명,2020지배구조,2021지배구조,2022지배구조,2023지배구조,2024지배구조,종목코드,시장구분,업종명,시가총액
71,SK네트웍스,A,A,B+,A,A,1740.0,KOSPI,유통업,1199330000000.0
72,SK디스커버리,A,A,B+,A,A,6120.0,KOSPI,기타금융,830335000000.0
73,SK이노베이션,A,A+,A+,A+,A+,96770.0,KOSPI,화학,10588400000000.0
74,SK증권,B,B+,B+,B+,B+,1510.0,KOSPI,증권,281664000000.0
75,SK텔레콤,A,A,A,A,A,17670.0,KOSPI,통신업,10954300000000.0
76,SK하이닉스,A,A,B+,A,A,660.0,KOSPI,전기전자,124925000000000.0
77,SPC삼립,B,B+,B,D,D,5610.0,KOSPI,음식료품,508249000000.0
78,STX,B,B+,C,C,C,11810.0,KOSPI,유통업,240079000000.0
79,STX엔진,B,B+,D,D,D,77970.0,KOSPI,기계,309470000000.0
81,STX중공업,B+,B+,B,B,B,71970.0,KOSPI,기계,416298000000.0
82,TCC스틸,C,B,C,D,D,2710.0,KOSPI,철강금속,1420780000000.0
83,WISCOM,B+,B+,B,B,B,24070.0,KOSPI,화학,36706819010.0
84,YGPLUS,B,B,D,D,D,37270.0,KOSPI,서비스업,260378000000.0
85,가온전선,B+,B+,B+,B,B,500.0,KOSPI,전기전자,274819000000.0
86,강남제비스코,B,B+,B,B+,B+,860.0,KOSPI,화학,178100000000.0
87,강원랜드,A,A,A,A,A,35250.0,KOSPI,서비스업,3209110000000.0
88,갤럭시아에스엠,C,B,D,D,D,11420.0,KOSPI,서비스업,61573454340.0
91,경농,C,B,B,B+,B+,2100.0,KOSPI,화학,191712000000.0
92,경동나비엔,B+,B+,D,C,C,9450.0,KOSPI,전기전자,789618000000.0
93,경동인베스트,B+,B+,C,C,C,12320.0,KOSPI,기타금융,165552000000.0
94,경방,B,B+,D,C,C,50.0,KOSPI,유통업,210001000000.0
95,경인양행,B,B,D,D,D,12610.0,KOSPI,화학,137542000000.0
96,경인전자,B,B,D,C,C,9140.0,KOSPI,전기전자,33772135500.0
97,계룡건설,B+,B+,C,B,B,13580.0,KOSPI,건설업,117888000000.0
98,계양전기,B,B,D,C,C,12200.0,KOSPI,기계,50062782531.0
100,고려산업,C,B,D,C,C,2140.0,KOSPI,음식료품,78434491625.0
101,고려아연,B+,B+,C,C,C,10130.0,KOSPI,철강금속,9847940000000.0
102,고려제강,C,B+,D,D,D,2240.0,KOSPI,철강금속,511250000000.0
103,상상인증권,C,D,D,D,D,1290.0,KOSPI,증권,75835984000.0
104,광동제약,B+,B+,B,C,C,9290.0,KOSPI,의약품,354365000000.0
105,광명전기,C,B,D,D,D,17040.0,KOSPI,전기전자,110728000000.0
106,광전자,B+,B+,C,D,D,17900.0,KOSPI,전기전자,121392000000.0
107,광주신세계,B+,A,B+,A,A,37710.0,KOSPI,유통업,245479000000.0
108,교보증권,B,B,B+,B+,B+,30610.0,KOSPI,증권,562977000000.0
109,국도화학,B,B+,D,D,D,7690.0,KOSPI,화학,312668000000.0
110,국동,B+,B+,D,C,C,5320.0,KOSPI,유통업,40384171685.0
111,국보,C,C,D,D,D,1140.0,KOSPI,운수창고업,32447620090.0
112,국제약품,C,B+,B,B,B,2720.0,KOSPI,의약품,106434000000.0
114,극동유화,B,B,D,D,D,14530.0,KOSPI,화학,139652000000.0
115,금강공업,B,B+,B,B,B,14280.0,KOSPI,철강금속,156325000000.0
116,금비,C,B,D,D,D,8870.0,KOSPI,비금속광물,60100000000.0
117,금양,C,B+,C,D,D,1570.0,KOSPI,화학,5572800000000.0
118,금호건설,C,C,D,B,B,2990.0,KOSPI,건설업,155205000000.0
119,금호석유,A,A,A,A,A,11780.0,KOSPI,화학,3406510000000.0
120,금호전기,B,B+,D,D,D,1210.0,KOSPI,전기전자,27295981353.0
121,기신정기,B,B,D,D,D,92440.0,KOSPI,기계,87600000000.0
122,기아,B+,A,B,C,C,270.0,KOSPI,운수장비,46275300000000.0
123,기업은행,B+,A,B+,A,A,24110.0,KOSPI,은행,10876900000000.0
124,까뮤이앤씨,B,B+,B,B,B,13700.0,KOSPI,건설업,70753622760.0
125,깨끗한나라,B+,B,C,B,B,4540.0,KOSPI,종이목재,82115728065.0
126,이엔플러스,B,B,D,D,D,74610.0,KOSPI,기계,210769000000.0
127,남광토건,B,B,B,D,D,1260.0,KOSPI,건설업,60666969240.0
128,남선알미늄,B,B,C,D,D,8350.0,KOSPI,철강금속,242669000000.0
129,남성,B,B,D,C,C,4270.0,KOSPI,유통업,65797494720.0
130,남양유업,B+,B+,D,C,C,3920.0,KOSPI,음식료품,361440000000.0
131,비비안,B,C,D,D,D,2070.0,KOSPI,섬유의복,30121723890.0
132,남해화학,B+,B+,C,C,C,25860.0,KOSPI,화학,356694000000.0
133,넥센,B+,B,B,B,B,5720.0,KOSPI,화학,223278000000.0
134,넥센타이어,B,B+,B,B,B,2350.0,KOSPI,화학,899521000000.0
135,노루페인트,B,B+,B+,B,B,90350.0,KOSPI,화학,181400000000.0
136,노루홀딩스,C,B+,B+,B+,B+,320.0,KOSPI,기타금융,149658000000.0
137,녹십자,B,B+,B,B,B,6280.0,KOSPI,의약품,1308890000000.0
138,녹십자홀딩스,B,B+,B+,B+,B+,5250.0,KOSPI,서비스업,738813000000.0
139,농심,B,B,D,B,B,4370.0,KOSPI,음식료품,2405680000000.0
140,농심홀딩스,B+,B+,C,B,B,72710.0,KOSPI,기타금융,304239000000.0
141,다우기술,B,B+,C,B,B,23590.0,KOSPI,서비스업,847979000000.0
142,키다리스튜디오,B,B,C,D,D,20120.0,KOSPI,서비스업,165970000000.0
144,KIB플러그에너지,C,B,D,D,D,15590.0,KOSPI,기계,103087000000.0
145,대교,A,A,B+,B+,B+,19680.0,KOSPI,서비스업,209640000000.0
146,대구백화점,B+,B+,B+,B,B,6370.0,KOSPI,유통업,78132031420.0
150,대동,B,B+,D,D,D,490.0,KOSPI,기계,302818000000.0
151,대동전자,C,B+,B,C,C,8110.0,KOSPI,전기전자,117283000000.0
152,대림B&Co,B+,B+,C,C,C,5750.0,KOSPI,비금속광물,66355515200.0
153,DL,B+,B+,A,A,A,210.0,KOSPI,화학,1058270000000.0
154,대림통상,B,C,D,D,D,6570.0,KOSPI,기계,44761500000.0
155,대상,B,B+,B,B+,B+,1680.0,KOSPI,음식료품,758792000000.0
156,대상홀딩스,B,B+,B,B,B,84690.0,KOSPI,기타금융,320843000000.0
158,대성홀딩스,B,B,C,C,C,16710.0,KOSPI,서비스업,144322000000.0
159,대신증권,B+,A,B+,B+,B+,3540.0,KOSPI,증권,767694000000.0
160,대양금속,B,B,D,D,D,9190.0,KOSPI,철강금속,76862071306.0
161,대영포장,D,C,D,D,D,14160.0,KOSPI,종이목재,140371000000.0
162,대우건설,B+,A,B+,A,A,47040.0,KOSPI,건설업,1541960000000.0
163,대우부품,C,B,D,D,D,9320.0,KOSPI,운수장비,68428080760.0
165,한화오션,A,A,B+,B+,B+,42660.0,KOSPI,운수장비,9864760000000.0
166,대웅,C,B,B,B+,B+,3090.0,KOSPI,의약품,1054700000000.0
167,대웅제약,B+,B,B,B,B,69620.0,KOSPI,의약품,1283790000000.0
168,대원강업,B,B+,C,C,C,430.0,KOSPI,운수장비,341000000000.0
169,대원전선,C,B,D,D,D,6340.0,KOSPI,전기전자,170556000000.0
170,대원제약,B+,B+,B+,B+,B+,3220.0,KOSPI,의약품,337957000000.0
171,대원화성,B+,B+,D,D,D,24890.0,KOSPI,화학,70618548224.0
172,대유에이텍,C,B,D,D,D,2880.0,KOSPI,운수장비,54643759380.0
173,대유플러스,C,C,D,D,D,300.0,KOSPI,전기전자,30475633069.0
174,대창,C,C,D,D,D,12800.0,KOSPI,철강금속,137349000000.0
175,대창단조,B,B+,C,C,C,15230.0,KOSPI,운수장비,166290000000.0
176,대한방직,B+,B+,B,B,B,1070.0,KOSPI,섬유의복,34768000000.0
177,대한유화,C,B+,D,B,B,6650.0,KOSPI,화학,869050000000.0
178,대한전선,B+,A,B+,B+,B+,1440.0,KOSPI,전기전자,2321270000000.0
179,대한제강,B,B,C,C,C,84010.0,KOSPI,철강금속,325928000000.0
180,대한제당,B,B+,C,C,C,1790.0,KOSPI,음식료품,278059000000.0
181,대한제분,C,B+,D,D,D,1130.0,KOSPI,음식료품,221897000000.0
182,대한항공,B+,A,A,A,A,3490.0,KOSPI,운수창고업,7640580000000.0
183,대한화섬,C,B+,B,B,B,3830.0,KOSPI,화학,143822000000.0
184,대현,B,B+,B+,B+,B+,16090.0,KOSPI,섬유의복,84667776720.0
185,대호에이엘,B,B,D,B,B,69460.0,KOSPI,철강금속,75582738624.0
186,더존비즈온,B,B,D,D,D,12510.0,KOSPI,서비스업,1637630000000.0
187,덕성,B+,B+,C,B,B,4830.0,KOSPI,화학,125440000000.0
188,덕양산업,B,B,D,D,D,24900.0,KOSPI,운수장비,169989000000.0
190,케이비아이동국실업,C,C,D,D,D,1620.0,KOSPI,운수장비,64661251011.0
191,하이스틸,B,B+,B,C,C,71090.0,KOSPI,철강금속,65824195460.0
194,하이트진로,B,B,B,C,C,80.0,KOSPI,음식료품,1476310000000.0
195,하이트진로홀딩스,B,B,B,B,B,140.0,KOSPI,기타금융,208861000000.0
196,한국가스공사,B+,B+,B+,B+,B+,36460.0,KOSPI,전기가스업,2372440000000.0
198,한국공항,B,B+,C,B+,B+,5430.0,KOSPI,운수창고업,216262000000.0
199,한국금융지주,B+,B+,B+,B+,B+,71050.0,KOSPI,기타금융,3672340000000.0
200,한국내화,D,B,D,D,D,10040.0,KOSPI,비금속광물,114577000000.0
201,한국단자,B,B+,C,C,C,25540.0,KOSPI,전기전자,655104000000.0
202,한국석유,B,B+,B+,B+,B+,4090.0,KOSPI,비금속광물,203741000000.0
203,한국수출포장,B,B+,D,D,D,2200.0,KOSPI,종이목재,105800000000.0
204,한국쉘석유,B,B+,B,B+,B+,2960.0,KOSPI,화학,350350000000.0
207,한국전력,A,B+,B+,A,A,15760.0,KOSPI,전기가스업,13417000000000.0
208,한국전자홀딩스,C,B,D,D,D,6200.0,KOSPI,기타금융,42731263168.0
209,한국제지,B,B,D,C,C,27970.0,KOSPI,종이목재,194743000000.0
210,한국주강,C,C,D,D,D,25890.0,KOSPI,기계,26859490125.0
211,한국주철관,B,B,D,D,D,970.0,KOSPI,철강금속,147063000000.0
212,한국철강,C,B+,B,B,B,104700.0,KOSPI,철강금속,514494000000.0
213,한국카본,B+,B,D,C,C,17960.0,KOSPI,기계,573069000000.0
215,한국앤컴퍼니,B,B+,B+,B+,B+,240.0,KOSPI,기타금융,1471500000000.0
216,한국특강,B,B,D,C,C,7280.0,KOSPI,철강금속,104356000000.0
217,한국무브넥스,C,B,C,C,C,10100.0,KOSPI,운수장비,145858000000.0
218,한국화장품제조,B,B,C,D,D,3350.0,KOSPI,화학,117379000000.0
219,한농화성,B,B,D,D,D,11500.0,KOSPI,화학,276776000000.0
220,한독,B,A,B+,B+,B+,2390.0,KOSPI,의약품,183606000000.0
221,HLD&I,B+,B+,B+,B+,B+,14790.0,KOSPI,건설업,74354292364.0
222,한미글로벌,B+,A,B+,B,B,53690.0,KOSPI,서비스업,167431000000.0
223,한미반도체,B,B,B,C,C,42700.0,KOSPI,기계,12371800000000.0
224,한미사이언스,B,A,B,B,B,8930.0,KOSPI,기타금융,2298090000000.0
225,한샘,B,A,A,A,A,9240.0,KOSPI,유통업,1195520000000.0
226,한섬,A,A,B,A,A,20000.0,KOSPI,섬유의복,446911000000.0
227,한성기업,C,B,D,D,D,3680.0,KOSPI,음식료품,31979002250.0
228,한세실업,B+,B+,C,B+,B+,105630.0,KOSPI,섬유의복,854000000000.0
229,한세예스24홀딩스,B,B+,B+,A,A,16450.0,KOSPI,섬유의복,187200000000.0
230,한솔로지스틱스,A,B+,B+,B+,B+,9180.0,KOSPI,운수창고업,62026222875.0
232,한솔케미칼,B+,A,B+,B+,B+,14680.0,KOSPI,화학,2157090000000.0
233,한솔테크닉스,A,A,B+,B+,B+,4710.0,KOSPI,전기전자,176604000000.0
234,한솔PNS,A,A,B+,A,A,10420.0,KOSPI,유통업,25226897772.0
235,한솔홀딩스,A,A,A,A,A,4150.0,KOSPI,기타금융,115734000000.0
236,한솔홈데코,A,A,B+,B+,B+,25750.0,KOSPI,종이목재,60182166303.0
237,한신공영,B,B,D,D,D,4960.0,KOSPI,건설업,74631027900.0
238,한신기계,C,B+,D,D,D,11700.0,KOSPI,기계,142763000000.0
239,한양증권,C,C,C,C,C,1750.0,KOSPI,증권,130849000000.0
240,한온시스템,B+,B+,C,B,B,18880.0,KOSPI,기계,2749070000000.0
241,한올바이오파마,B,B+,C,B+,B+,9420.0,KOSPI,의약품,1810140000000.0
242,한익스프레스,D,C,D,C,C,14130.0,KOSPI,운수창고업,53760000000.0
244,한일시멘트,B,B,D,B+,B+,300720.0,KOSPI,비금속광물,873388000000.0
245,한일철강,C,B,D,D,D,2220.0,KOSPI,철강금속,64207391300.0
246,한전KPS,B+,B+,A,A,A,51600.0,KOSPI,건설업,1539000000000.0
247,한전기술,B+,B+,B+,A,A,52690.0,KOSPI,서비스업,2262620000000.0
248,한진,B+,A,B+,A,A,2320.0,KOSPI,운수창고업,316142000000.0
249,HJ중공업,B+,B+,B+,B+,B+,97230.0,KOSPI,건설업,250656000000.0
250,한진중공업홀딩스,B+,B+,B+,B+,B+,3480.0,KOSPI,전기가스업,101730000000.0
252,한창,C,B,D,D,D,5110.0,KOSPI,유통업,23332434378.0
253,한창제지,B,B,B,C,C,9460.0,KOSPI,종이목재,49285343436.0
254,한화,A,A,A,B+,B+,880.0,KOSPI,화학,2001400000000.0
256,한화손해보험,B,B+,A,A,A,370.0,KOSPI,보험,544587000000.0
257,한화솔루션,B,B+,C,B,B,9830.0,KOSPI,화학,4314500000000.0
258,한화에어로스페이스,A,A,B,A,A,12450.0,KOSPI,운수장비,11138600000000.0
259,한화투자증권,B+,B+,B+,B+,B+,3530.0,KOSPI,증권,736972000000.0
262,HDC현대EP,B,B+,C,B,B,89470.0,KOSPI,화학,130471000000.0
263,현대건설,A,A,B+,A,A,720.0,KOSPI,건설업,3786100000000.0
265,현대글로비스,A,A,A,A,A,86280.0,KOSPI,운수창고업,6671250000000.0
266,현대리바트,A,A,A,B+,B+,79430.0,KOSPI,기타제조업,153193000000.0
267,현대모비스,A,A,B+,B+,B+,12330.0,KOSPI,운수장비,22383600000000.0
268,HD현대미포,A,A,B+,B+,B+,10620.0,KOSPI,운수장비,2923770000000.0
269,현대백화점,A,A,A,A,A,69960.0,KOSPI,유통업,1170120000000.0
270,현대비앤지스틸,B+,B+,D,C,C,4560.0,KOSPI,철강금속,303838000000.0
271,HDC현대산업개발,B+,B+,B,B,B,294870.0,KOSPI,건설업,1065060000000.0
272,HMM,A,A,B+,B+,B+,11200.0,KOSPI,운수창고업,11107300000000.0
273,한일현대시멘트,B+,B+,B,B,B,6390.0,KOSPI,비금속광물,287982000000.0
274,현대약품,B,B+,D,B,B,4310.0,KOSPI,의약품,121280000000.0
275,현대엘리베이,A,A,B,B+,B+,17800.0,KOSPI,기계,1581290000000.0
276,현대차,A,A,B,B+,B+,5380.0,KOSPI,운수장비,51307000000000.0
277,현대제철,B+,A,B+,B+,B+,4020.0,KOSPI,철강금속,4276940000000.0
278,현대코퍼레이션,B,B+,B,B+,B+,11760.0,KOSPI,유통업,218543000000.0
280,현대차증권,A,A,B+,B+,B+,1500.0,KOSPI,증권,274314000000.0
283,현대해상,A,A,B+,A,A,1450.0,KOSPI,보험,2749050000000.0
284,형지엘리트,C,B,D,D,D,93240.0,KOSPI,섬유의복,37697305580.0
285,혜인,C,B,D,D,D,3010.0,KOSPI,유통업,69284471150.0
286,호텔신라,A,A,A,A,A,8770.0,KOSPI,유통업,2276390000000.0
287,화성산업,B+,B+,B,B+,B+,2460.0,KOSPI,건설업,101297000000.0
289,화승인더,B+,A,B+,B+,B+,6060.0,KOSPI,화학,221003000000.0
290,화신,B,B+,C,B,B,10690.0,KOSPI,운수장비,367363000000.0
291,화천기계,C,B,D,C,C,10660.0,KOSPI,기계,80960000000.0
292,화천기공,B,B+,C,C,C,850.0,KOSPI,기계,66880000000.0
293,환인제약,B+,B+,B+,B+,B+,16580.0,KOSPI,의약품,256495000000.0
294,황금에스티,C,B,B,B,B,32560.0,KOSPI,철강금속,116280000000.0
295,효성,B,B+,B,B+,B+,4800.0,KOSPI,기타금융,1224230000000.0
296,효성ITX,B+,B+,B+,B,B,94280.0,KOSPI,서비스업,144478000000.0
297,후성,C,B,B,B,B,93370.0,KOSPI,화학,748212000000.0
298,휴니드,B,B+,C,D,D,5870.0,KOSPI,전기전자,103753000000.0
299,휴스틸,C,B,C,C,C,5010.0,KOSPI,철강금속,251161000000.0
300,TKG휴켐스,C,B+,B,B,B,69260.0,KOSPI,화학,791001000000.0
301,흥국화재,B,B,B+,B+,B+,540.0,KOSPI,보험,260825000000.0
302,흥아해운,D,D,C,B,B,3280.0,KOSPI,운수창고업,688817000000.0
304,동남합성,B,B,B,C,C,23450.0,KOSPI,화학,108500000000.0
305,동방,C,B,D,D,D,4140.0,KOSPI,운수창고업,106497000000.0
306,동방아그로,B,B+,C,B,B,7590.0,KOSPI,화학,85654559330.0
307,동부건설,B,B+,C,B,B,5960.0,KOSPI,건설업,113919000000.0
308,KG스틸,B,B,D,C,C,16380.0,KOSPI,철강금속,696062000000.0
309,동성제약,B,B+,B,B,B,2210.0,KOSPI,의약품,136769000000.0
310,동성케미컬,B,B+,B,B+,B+,102260.0,KOSPI,서비스업,223604000000.0
312,동아쏘시오홀딩스,A,A,A,A,A,640.0,KOSPI,기타금융,721871000000.0
313,다스코,B+,B+,C,C,C,58730.0,KOSPI,기계,65852614695.0
314,동아지질,C,B,D,D,D,28100.0,KOSPI,건설업,172707000000.0
315,동양,B,B+,C,C,C,1520.0,KOSPI,비금속광물,219112000000.0
316,동양고속,B+,B+,D,C,C,84670.0,KOSPI,운수창고업,33588600400.0
317,TYM,B+,B+,B+,B,B,2900.0,KOSPI,기계,210388000000.0
318,동양생명,B+,B+,B+,B+,B+,82640.0,KOSPI,보험,855201000000.0
319,동양철관,C,B,D,C,C,8970.0,KOSPI,철강금속,83100817710.0
320,HLB글로벌,C,B,D,D,D,3580.0,KOSPI,광업,325019000000.0
321,동원F&B,B,B,C,C,C,49770.0,KOSPI,음식료품,749635000000.0
322,동원금속,B+,B+,C,C,C,18500.0,KOSPI,운수장비,76865109852.0
323,동원산업,B+,B+,C,B,B,6040.0,KOSPI,기타금융,1722180000000.0
324,동원수산,B,B+,D,D,D,30720.0,KOSPI,"농업, 임업 및 어업",27690139750.0
325,동원시스템즈,C,B,D,C,C,14820.0,KOSPI,화학,1174150000000.0
326,DI동일,C,B+,C,C,C,1530.0,KOSPI,유통업,675780000000.0
327,동일산업,B+,B+,B+,B,B,4890.0,KOSPI,철강금속,105012000000.0
329,동화약품,B,B,C,C,C,20.0,KOSPI,의약품,243004000000.0
330,두산,A,B+,B,B,B,150.0,KOSPI,기타금융,2204280000000.0
332,HD현대인프라코어,A,A,B+,B+,B+,42670.0,KOSPI,기계,1536950000000.0
333,두산에너빌리티,B+,B+,C,B,B,34020.0,KOSPI,기계,10076000000000.0
334,디씨엠,B,B+,B,B,B,24090.0,KOSPI,철강금속,124260000000.0
335,디아이,B,B+,D,D,D,3160.0,KOSPI,의료정밀,538549000000.0
336,디아이씨,C,B,D,D,D,92200.0,KOSPI,운수장비,240331000000.0
337,디와이,B+,B+,B+,B,B,13570.0,KOSPI,기타금융,150285000000.0
338,DN오토모티브,B,B+,B,D,D,7340.0,KOSPI,전기전자,790526000000.0
341,롯데관광개발,C,B,D,D,D,32350.0,KOSPI,서비스업,740527000000.0
343,롯데손해보험,A,A,B+,B+,B+,400.0,KOSPI,보험,1013250000000.0
344,롯데쇼핑,A,A,A,A,A,23530.0,KOSPI,유통업,1892520000000.0
345,롯데정밀화학,A,A,A,A,A,4000.0,KOSPI,화학,1111980000000.0
346,롯데지주,B,A,B+,A,A,4990.0,KOSPI,기타금융,2774850000000.0
347,롯데칠성,B+,A,B,B+,B+,5300.0,KOSPI,음식료품,1183060000000.0
348,롯데케미칼,A,A,A,B,B,11170.0,KOSPI,화학,4290370000000.0
350,마니커,C,B,D,C,C,27740.0,KOSPI,음식료품,69227238520.0
351,만호제강,B,B+,B+,B+,B+,1080.0,KOSPI,철강금속,195673000000.0
355,명문제약,B,B+,C,B,B,17180.0,KOSPI,의약품,69434813430.0
356,모나리자,B,B,D,B,B,12690.0,KOSPI,종이목재,114834000000.0
357,모나미,B,B,D,D,D,5360.0,KOSPI,유통업,51117215435.0
358,모토닉,B,B+,B+,B,B,9680.0,KOSPI,운수장비,274560000000.0
359,무림P&P,B+,A,B+,B+,B+,9580.0,KOSPI,종이목재,190535000000.0
360,무림페이퍼,B+,A,B,B,B,9200.0,KOSPI,종이목재,89251969950.0
361,문배철강,B,B,C,C,C,8420.0,KOSPI,철강금속,56999743900.0
362,미래산업,B,C,D,D,D,25560.0,KOSPI,의료정밀,66641196300.0
363,미래아이앤지,C,C,D,D,D,7120.0,KOSPI,서비스업,31257497664.0
365,미래에셋증권,B+,B,B+,B+,B+,6800.0,KOSPI,증권,4458920000000.0
366,미원상사,B,B,C,B,B,2840.0,KOSPI,화학,907725000000.0
367,미원홀딩스,C,B,B,D,D,107590.0,KOSPI,기타금융,179336000000.0
368,미창석유,B,B,B,D,D,3650.0,KOSPI,화학,136738000000.0
369,방림,B,B+,C,C,C,3610.0,KOSPI,섬유의복,88224877650.0
371,백광산업,D,B,D,D,D,1340.0,KOSPI,화학,360246000000.0
372,태경비케이,B,B,D,C,C,14580.0,KOSPI,비금속광물,145639000000.0
373,백산,B,B,D,D,D,35150.0,KOSPI,화학,297198000000.0
374,범양건영,B,C,D,D,D,2410.0,KOSPI,건설업,40103650930.0
376,보락,B,B,D,C,C,2760.0,KOSPI,화학,67567200000.0
377,보령,B,B+,B,B,B,3850.0,KOSPI,의약품,763833000000.0
379,보해양조,B,B,C,D,D,890.0,KOSPI,음식료품,67890622952.0
